GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0022301064,1610612746,LAC,LA,202331,Paul George,Paul,F,,34.000000:35,4.0,14.0,0.286,1.0,5.0,0.2,3.0,3.0,1.0,0.0,4.0,4.0,1.0,1.0,0.0,2.0,4.0,12.0,4.0
0022301064,1610612746,LAC,LA,202695,Kawhi Leonard,Kawhi,F,,37.000000:46,12.0,21.0,0.571,3.0,6.0,0.5,2.0,2.0,1.0,1.0,10.0,11.0,5.0,4.0,2.0,3.0,4.0,29.0,5.0
0022301064,1610612746,LAC,LA,1627826,Ivica Zubac,Ivica,C,,34.000000:50,7.0,10.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,9.0,2.0,0.0,1.0,1.0,2.0,14.0,-3.0
0022301064,1610612746,LAC,LA,1629611,Terance Mann,Terance,G,,20.000000:08,2.0,4.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,5.0,-1.0
0022301064,1610612746,LAC,LA,201935,James Harden,James,G,,36.000000:34,3.0,12.0,0.25,1.0,7.0,0.143,4.0,5.0,0.8,2.0,6.0,8.0,4.0,4.0,0.0,4.0,1.0,11.0,-3.0
0022301064,1610612746,LAC,LA,201566,Russell Westbrook,Russell,,,17.000000:59,2.0,6.0,0.333,0.0,1.0,0.0,1.0,2.0,0.5,2.0,1.0,3.0,5.0,1.0,0.0,2.0,1.0,5.0,3.0
0022301064,1610612746,LAC,LA,1626181,Norman Powell,Norman,,,26.000000:22,5.0,8.0,0.625,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,10.0,4.0
0022301064,1610612746,LAC,LA,1629599,Amir Coffey,Amir,,,19.000000:10,2.0,4.0,0.5,2.0,3.0,0.667,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,6.0,2.0
0022301064,1610612746,LAC,LA,203486,Mason Plumlee,Mason,,,12.000000:36,4.0,6.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,1.0,1.0,8.0,4.0
0022301064,1610612746,LAC,LA,1630527,Brandon Boston Jr.,Brandon,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0022301064,1610612746,LAC,LA,1630538,Bones Hyland,Bones,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0022301064,1610612746,LAC,LA,1629875,Xavier Moon,Xavier,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0022301064,1610612746,LAC,LA,1628464,Daniel Theis,Daniel,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0022301064,1610612746,LAC,LA,200782,P.J. Tucker,P.J.,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0022301064,1610612753,ORL,Orlando,1630532,Franz Wagner,Franz,F,,35.000000:31,5.0,13.0,0.385,0.0,3.0,0.0,3.0,4.0,0.75,1.0,2.0,3.0,3.0,2.0,1.0,1.0,2.0,13.0,2.0
0022301064,1610612753,ORL,Orlando,1631094,Paolo Banchero,Paolo,F,,38.000000:29,8.0,18.0,0.444,1.0,6.0,0.167,6.0,7.0,0.857,0.0,8.0,8.0,2.0,2.0,0.0,7.0,3.0,23.0,-3.0
0022301064,1610612753,ORL,Orlando,1628976,Wendell Carter Jr.,Wendell,C,,23.000000:35,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,2.0,0.0,1.0,1.0,0.0,2.0,-3.0
