GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0022400013,298,203897,Zach LaVine,1610612741,Chicago Bulls,2,3,19,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,5,10,1,1,20241115,CLE,CHI
Shot Chart Detail,0022400013,302,203897,Zach LaVine,1610612741,Chicago Bulls,2,2,39,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,20,203,20,1,1,20241115,CLE,CHI
Shot Chart Detail,0022400013,534,203897,Zach LaVine,1610612741,Chicago Bulls,3,0,0,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,110,82,1,1,20241115,CLE,CHI
Shot Chart Detail,0022400013,643,203897,Zach LaVine,1610612741,Chicago Bulls,4,3,57,Made Shot,Running Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,-11,1,1,20241115,CLE,CHI
Shot Chart Detail,0022400030,27,203897,Zach LaVine,1610612741,Chicago Bulls,1,9,56,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,4,1,1,20241122,CHI,ATL
Shot Chart Detail,0022400030,31,203897,Zach LaVine,1610612741,Chicago Bulls,1,9,32,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-18,-7,1,1,20241122,CHI,ATL
Shot Chart Detail,0022400030,42,203897,Zach LaVine,1610612741,Chicago Bulls,1,8,34,Made Shot,Step Back Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,-25,136,1,1,20241122,CHI,ATL
Shot Chart Detail,0022400030,264,203897,Zach LaVine,1610612741,Chicago Bulls,2,4,50,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,27,47,1,1,20241122,CHI,ATL
Shot Chart Detail,0022400030,274,203897,Zach LaVine,1610612741,Chicago Bulls,2,4,12,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,9,4,1,1,20241122,CHI,ATL
Shot Chart Detail,0022400030,312,203897,Zach LaVine,1610612741,Chicago Bulls,2,1,9,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-17,3,1,1,20241122,CHI,ATL
Shot Chart Detail,0022400030,359,203897,Zach LaVine,1610612741,Chicago Bulls,3,10,48,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-229,-10,1,1,20241122,CHI,ATL
Shot Chart Detail,0022400030,407,203897,Zach LaVine,1610612741,Chicago Bulls,3,6,45,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,5,2,1,1,20241122,CHI,ATL
